"filename", "language", "jsonc", "comment", "blank", "total"
"/home/eashan/BuckeyeVerticalSoftware/src/BuckeyeVerticalSoftware.code-workspace", "jsonc", 103, 0, 0, 103
"Total", "-", 103, 0, 0, 103
